Method,Language,Library / Object,Returns,Description,Use Case,Example Problem,Example Answer,Import,Input example,Output example
pd.DataFrame.set_index(),Python,pandas.core.frame.DataFrame,DataFrame,Sets a column as the index,Use a meaningful column as row labels,I want to make column A my index,df = df.set_index('A'),import pandas as pd,"df = pd.DataFrame({'A':[10,20],'B':[1,2]})","B
A
10 1
20 2"
pd.loc,Python,pandas.core.indexing._LocIndexer,DataFrame or Series,Access rows/columns by label,Select rows using index labels,I want rows where index is 'x',df.loc['x'],import pandas as pd,"df = pd.DataFrame({'A':[10,20]}, index=['x','y'])","A 10
Name: x, dtype: int64"
pd.iloc,Python,pandas.core.indexing._LocIndexer,DataFrame or Series,Access rows/columns by integer position,Select rows by position,I want the first row,df.iloc[0],import pandas as pd,"df = pd.DataFrame({'A':[10,20]})","A 10
Name: 0, dtype: int64"
pd.idxmax(),Python,pandas,label,Returns index label of maximum value,Find row label with highest value,Which row has the highest value,s.idxmax(),import pandas as pd,"s = pd.Series([5,9,3], index=['a','b','c'])",b
pd.idxmin(),Python,pandas,label,Returns index label of minimum value,Find row label with lowest value,Which row has the smallest value,s.idxmin(),import pandas as pd,"s = pd.Series([5,9,3], index=['a','b','c'])",c
pd.Index.get_loc(),Python,pandas.core.indexes.base.Index,int,Returns integer location of a label,Find position of an index label,What position is label 'b',df.index.get_loc('b'),import pandas as pd,"df = pd.DataFrame({'A':[10,20,30]}, index=['a','b','c'])",1
np.where(),Python,numpy.ndarray,numpy.ndarray,Returns indices where condition is True,Find positions matching a condition,Find indices where values > 5,np.where(arr > 5),import numpy as np,"arr = np.array([2,7,4,9])","(array([1, 3]),)"
np.argmax(),Python,numpy.ndarray,int,Returns index of max value,Find position of largest value,Where is the max value,np.argmax(arr),import numpy as np,"arr = np.array([2,7,4,9])",3
np.argmin(),Python,numpy.ndarray,int,Returns index of min value,Find position of smallest value,Where is the min value,np.argmin(arr),import numpy as np,"arr = np.array([2,7,4,9])",0
pd.size(),Python,pandas,pandas,"Counts rows in each group, including rows where other columns have missing values.",Use when you want total row counts per group.,"Count how many rows each athlete has, even if Medal is missing.",result = df.groupby('Name').size(),import pandas as pd,"import pandas as pd

df = pd.DataFrame({
'Name': ['Ava', 'Ava', 'Ben'],
'Medal': ['Gold', None, 'Silver']
})

result = df.groupby('Name').size()","Name
Ava 2
Ben 1
dtype: int64"
pd.count(),Python,pandas,pandas,Counts non-missing values in each column for each group.,Use when you want filled-in value counts rather than total row counts.,Count how many medal values each athlete actually has.,result = df.groupby('Name').count(),import pandas as pd,"import pandas as pd

df = pd.DataFrame({
'Name': ['Ava', 'Ava', 'Ben'],
'Medal': ['Gold', None, 'Silver']
})

result = df.groupby('Name').count()","Medal
Name
Ava 1
Ben 1"
pd.DataFrame.columns,Python,pandas.core.frame.DataFrame,Index,"Returns the column labels of a DataFrame.

","Use when you want to inspect, reorder, or validate column names.",Check what columns a cleaned table has before selecting them.,result = df.columns,import pandas as pd,"import pandas as pd

df = pd.DataFrame({
'Name': ['Ava', 'Ben'],
'Golds': [2, 1]
})

result = df.columns","Index(['Name', 'Golds'], dtype='object')"
pd.Series.to_frame(),Python,pandas.core.series.Series,DataFrame,Converts a Series into a one-column DataFrame.,Use when you need to join or merge a Series like a table.,Turn grouped counts into a DataFrame before joining another result.,result = counts.to_frame(),import pandas as pd,"import pandas as pd

counts = pd.Series(
[2, 1],
index=['Ava', 'Ben'],
name='Golds'
)

result = counts.to_frame()","Golds
Ava 2
Ben 1"
pd.isna(),Python,pandas,pandas,Returns a boolean DataFrame showing which values are missing.,Use when you need to detect missing values before cleaning data.,Find which medal entries are missing.,result = df.isna(),import pandas as pd,"import pandas as pd

df = pd.DataFrame({
'Name': ['Ava', 'Ben'],
'Medal': ['Gold', None]
})

result = df.isna()","Name Medal
0 False False
1 False True"
pd.notna(),Python,pandas,pandas,Returns a boolean DataFrame showing which values are not missing.,Use when you need to keep or count present values.,Check which medal entries are available.,result = df.notna(),import pandas as pd,"import pandas as pd

df = pd.DataFrame({
'Name': ['Ava', 'Ben'],
'Medal': ['Gold', None]
})

result = df.notna()","Name Medal
0 True True
1 True False"
pd.fillna(),Python,pandas,pandas,Replaces missing values with a specified value.,Use when missing values should be treated as a known fallback like 0.,Replace missing gold counts with 0 before computing percentages.,result = df.fillna(0),import pandas as pd,"import pandas as pd

df = pd.DataFrame({
'Name': ['Ava', 'Ben'],
'Golds': [2, None]
})

result = df.fillna(0)","Name Golds
0 Ava 2.0
1 Ben 0.0"
pd.dropna(),Python,pandas,pandas,Removes rows or columns containing missing values.,Use when records with missing data should be excluded from analysis.,Drop rows where Medal is missing.,result = df.dropna(),import pandas as pd,"import pandas as pd

df = pd.DataFrame({
'Name': ['Ava', 'Ben'],
'Medal': ['Gold', None]
})

result = df.dropna()","Name Medal
0 Ava Gold"
pd.DataFrame.cumcount(),Python,pandas.core.groupby.GroupBy,int Series,Assigns a sequential number to each row within each group starting from 0,Useful for ranking rows within groups similar to SQL ROW_NUMBER,I have sales data per store and want to assign row numbers within each store,"import pandas as pd\ndf = pd.DataFrame({'store':['A','A','B','B'],'sales':[10,20,5,15]})\ndf['rn'] = df.groupby('store').cumcount() + 1",import pandas as pd,"import pandas as pd\ndf = pd.DataFrame({'store':['A','A','B','B'],'sales':[10,20,5,15]})\ndf['rn'] = df.groupby('store').cumcount() + 1",store sales rn\n0 A 10 1\n1 A 20 2\n2 B 5 1\n3 B 15 2
pd.head(),Python,pandas,pandas,Returns the first n rows from each group,Used to get top N rows per group after sorting,I want the top 1 highest sale per store,"import pandas as pd\ndf = pd.DataFrame({'store':['A','A','B','B'],'sales':[10,20,5,15]})\ndf_sorted = df.sort_values(['store','sales'], ascending=[True,False])\ntop1 = df_sorted.groupby('store').head(1)",import pandas as pd,"import pandas as pd\ndf = pd.DataFrame({'store':['A','A','B','B'],'sales':[10,20,5,15]})\ndf_sorted = df.sort_values(['store','sales'], ascending=[True,False])\ntop1 = df_sorted.groupby('store').head(1)",store sales\n1 A 20\n3 B 15
pd.filter(),Python,pandas,pandas,Filters entire groups based on a condition,Used when you want to keep or drop whole groups based on logic,I want to keep only stores with total sales greater than 20,"import pandas as pd\ndf = pd.DataFrame({'store':['A','A','B','B'],'sales':[10,20,5,15]})\nfiltered = df.groupby('store').filter(lambda x: x['sales'].sum() > 20)",import pandas as pd,"import pandas as pd\ndf = pd.DataFrame({'store':['A','A','B','B'],'sales':[10,20,5,15]})\nfiltered = df.groupby('store').filter(lambda x: x['sales'].sum() > 20)",store sales\n0 A 10\n1 A 20
filter(),Python,Built-in,pandas,Filters elements from an iterable using a function that returns True or False,Use it when you want to keep only matching items from a list or other iterable,I have a list of numbers and want to keep only the even ones,"lst = [1, 2, 3, 4, 5]\nresult = list(filter(lambda x: x % 2 == 0, lst))",—,"lst = [1, 2, 3, 4, 5]\nresult = list(filter(lambda x: x % 2 == 0, lst))","[2, 4]"
np.array(),Python,numpy.ndarray,ndarray,Creates a NumPy array from a list-like object,Convert Python list into NumPy array for vectorized operations,Convert list of values into NumPy array,arr = np.array(values),import numpy as np,"values = [1, 2, 3]","array([1, 2, 3])"
np.reshape(),Python,numpy.ndarray,ndarray,Reshapes an array into a new shape without changing data,Add or change dimensions of array for matrix operations,Reshape 1D array into 2x2 matrix,"reshaped = np.reshape(arr, (2, 2))",import numpy as np,"arr = np.array([1, 2, 3, 4])","array([[1, 2],\n       [3, 4]])"
np.expand_dims(),Python,numpy.ndarray,ndarray,Adds a new axis at a specified position,Increase dimensionality for broadcasting or ML input,Add new axis to 1D array,"expanded = np.expand_dims(arr, axis=0)",import numpy as np,"arr = np.array([1, 2, 3])","array([[1, 2, 3]])"
np.squeeze(),Python,numpy.ndarray,ndarray,Removes single-dimensional entries from shape,Reduce unnecessary dimensions in array,Remove extra dimension from array,squeezed = np.squeeze(arr),import numpy as np,"arr = np.array([[1, 2, 3]])","array([1, 2, 3])"
np.vstack(),Python,numpy,ndarray,Stacks arrays vertically (row-wise),Combine arrays by adding rows,Stack two arrays vertically,"stacked = np.vstack((a, b))",import numpy as np,"a = np.array([1, 2])\nb = np.array([3, 4])","array([[1, 2],\n       [3, 4]])"
np.hstack(),Python,numpy,ndarray,Stacks arrays horizontally (column-wise),Combine arrays by adding columns,Stack arrays horizontally,"stacked = np.hstack((a, b))",import numpy as np,"a = np.array([1, 2])\nb = np.array([3, 4])","array([1, 2, 3, 4])"
np.concatenate(),Python,numpy,ndarray,Joins arrays along an existing axis,Merge multiple arrays along specified axis,Concatenate arrays along rows,"combined = np.concatenate((a, b), axis=0)",import numpy as np,"a = np.array([1, 2])\nb = np.array([3, 4])","array([1, 2, 3, 4])"
np.sort(),Python,numpy.ndarray,ndarray,Returns sorted copy of array,Sort values without modifying original array,Sort array values,sorted_arr = np.sort(arr),import numpy as np,"arr = np.array([3, 1, 2])","array([1, 2, 3])"
sorted(),Python,Built-in,list,Returns new sorted list,Sort iterable without modifying original,Sort list values,sorted_list = sorted(values),-,"values = [3, 1, 2]","[1, 2, 3]"
np.ndarray.sort(),Python,numpy.ndarray,None,Sorts array in-place,Modify array directly for efficiency,Sort array in place,arr.sort(),import numpy as np,"arr = np.array([3, 1, 2])","array([1, 2, 3])"
np.flatten(),Python,numpy.ndarray,ndarray,Returns flattened copy of array,Convert multi-dimensional array into 1D,Flatten matrix into vector,flat = arr.flatten(),import numpy as np,"arr = np.array([[1, 2], [3, 4]])","array([1, 2, 3, 4])"
np.ravel(),Python,numpy.ndarray,ndarray,Returns flattened view when possible,Efficient flatten without copying memory,Flatten array efficiently,flat = arr.ravel(),import numpy as np,"arr = np.array([[1, 2], [3, 4]])","array([1, 2, 3, 4])"
reversed(),Python,Built-in,iterator,Returns an iterator that yields elements in reverse order without modifying the original iterable,Iterate through a sequence in reverse order efficiently,Reverse a list for iteration without changing it,rev = list(reversed(values)),-,"values = [1, 2, 3]","[3, 2, 1]"
list.reverse(),Python,Built-in,None,Reverses a list in place without creating a new list,Modify a list directly when order needs to be reversed,Reverse a list in place,values.reverse(),-,"values = [1, 2, 3]","[3, 2, 1]"
collections.Counter(),Python,collections.Counter,Counter object,Counts hashable items and stores frequencies as a dictionary-like object,Count occurrences of elements across iterables,I have a list of tokens and want to count how many times each appears,"from collections import Counter
counts = Counter(tokens)",from collections import Counter,"tokens = ['a','b','a','c']","Counter({'a': 2, 'b': 1, 'c': 1})"
collections.Counter.update(),Python,collections.Counter,None,Updates counts by adding elements from an iterable or mapping,Accumulate counts across multiple groups or batches,I have multiple sets of tokens and want to count how many clusters each token appears in,"from collections import Counter
counts = Counter()
for tokens in token_sets.values():
counts.update(tokens)",from collections import Counter,"token_sets = {1:{'a','b'},2:{'a','c'}}
counts = Counter()
for tokens in token_sets.values():
counts.update(tokens)","Counter({'a': 2, 'b': 1, 'c': 1})"
collections.Counter.most_common(),Python,collections.Counter,list of tuples,Returns elements and their counts sorted by frequency,Get top-N most frequent elements,I want the top 2 most common tokens,"from collections import Counter
counts = Counter(tokens)
top = counts.most_common(2)",from collections import Counter,"tokens = ['a','b','a','c','a']
counts = Counter(tokens)
top = counts.most_common(2)","[('a', 3), ('b', 1)]"
collections.Counter.keys(),Python,collections.Counter,dict_keys view,Returns unique elements in the Counter,Retrieve all unique counted elements,I want all unique tokens counted,"from collections import Counter
counts = Counter(tokens)
keys = list(counts.keys())",from collections import Counter,"tokens = ['a','b','a']
counts = Counter(tokens)
keys = list(counts.keys())","['a', 'b']"
collections.Counter.values(),Python,collections.Counter,dict_values view,Returns counts of elements,Access frequency values only,I want just the counts of each token,"from collections import Counter
counts = Counter(tokens)
vals = list(counts.values())",from collections import Counter,"tokens = ['a','b','a']
counts = Counter(tokens)
vals = list(counts.values())","[2, 1]"
collections.Counter.items(),Python,collections.Counter,dict_items view,"Returns (element, count) pairs",Iterate over tokens with their counts,I want token-count pairs for filtering,"from collections import Counter
counts = Counter(tokens)
pairs = list(counts.items())",from collections import Counter,"tokens = ['a','b','a']
counts = Counter(tokens)
pairs = list(counts.items())","[('a', 2), ('b', 1)]"
pd.replace(),Python,pandas,Returns a DataFrame or Series with values replaced,Replaces specified values using scalar list dict or regex mappings,Standardize or clean inconsistent values in data,Replace 'N/A' with NaN in all columns,"df_clean = df.replace('N/A', np.nan)","import pandas as pd\nimport numpy as np\ndf = pd.DataFrame({'A':[1,'N/A',3],'B':['x','y','N/A']})",A    B\n0  1    x\n1 NaN   y\n2  3  NaN,
pd.where(),Python,pandas,Returns a DataFrame or Series with values conditionally kept,Replaces values where condition is False while keeping True values,Keep valid values and replace invalid ones based on condition,Keep only positive numbers and replace others with NaN,"df_clean = df.where(df > 0, np.nan)","import pandas as pd\nimport numpy as np\ndf = pd.DataFrame({'A':[1,-2,3],'B':[0,5,-1]})",A    B\n0  1.0  NaN\n1  NaN  5.0\n2  3.0  NaN,
pd.mask(),Python,pandas,Returns a DataFrame or Series with values conditionally replaced,Replaces values where condition is True while keeping False values,Mask out invalid or unwanted values,Replace negative values with NaN,"df_clean = df.mask(df < 0, np.nan)","import pandas as pd\nimport numpy as np\ndf = pd.DataFrame({'A':[1,-2,3],'B':[0,5,-1]})",A    B\n0  1.0  0.0\n1  NaN  5.0\n2  3.0  NaN,
pd.astype(),Python,pandas,Returns a DataFrame or Series with converted dtype,Converts values to a specified data type,Ensure numeric operations by converting strings to numbers,Convert numeric strings to float,df_float = df.astype(float),"import pandas as pd\ndf = pd.DataFrame({'A':['1','2','3'],'B':['4','5','6']})",A    B\n0  1.0  4.0\n1  2.0  5.0\n2  3.0  6.0,
pd.applymap(),Python,pandas,Returns a DataFrame after elementwise function application,Applies a function to each element of a DataFrame,Transform all values uniformly using a function,Add 1 to every value in DataFrame,df_new = df.applymap(lambda x: x + 1),"import pandas as pd\ndf = pd.DataFrame({'A':[1,2],'B':[3,4]})",A  B\n0  2  4\n1  3  5,
pd.str.lower(),Python,pandas.core.series.Series,Returns a Series with lowercase strings,Converts all string values in a Series to lowercase,Standardize text formatting before analysis,Convert all names to lowercase,df['name'] = df['name'].astype(str).str.lower(),"import pandas as pd\ndf = pd.DataFrame({'name':['Alice','BOB','Charlie']})",name\n0    alice\n1      bob\n2  charlie,
datetime.timedelta(),Python,datetime,timedelta object,Creates a fixed duration that can be added to or subtracted from datetime objects,Represent fixed time spans like days hours or minutes,I need to add 3 days to a start date,end = start + datetime.timedelta(days=3),import datetime,"start = datetime.datetime(2024, 1, 1)",2024-01-04 00:00:00
pd.to_datetime(),Python,pandas,Timestamp Series or DatetimeIndex,Converts strings numbers or columns into pandas datetime values,Turn raw date strings into usable datetime data,I have a date column stored as strings and need datetime values,df['date'] = pd.to_datetime(df['date']),import pandas as pd,"df = pd.DataFrame({'date':['2024-01-01','2024-01-02']})",0 2024-01-01; 1 2024-01-02
pd.to_timedelta(),Python,pandas,Timedelta Series or TimedeltaIndex,Converts numbers or strings into pandas timedelta durations,Create durations from numeric or text time values,I have hours as numbers and need timedelta durations,"df['duration'] = pd.to_timedelta(df['hours'], unit='h')",import pandas as pd,"df = pd.DataFrame({'hours':[1,2,3]})",0 days 01:00:00; 0 days 02:00:00; 0 days 03:00:00
pd.diff(),Python,pandas,Series or DataFrame,Computes the difference between current and previous values,Calculate gaps between ordered values or timestamps,I have ordered submit times and need time between submissions,df['gap'] = df['Submit'].diff(),import pandas as pd,"df = pd.DataFrame({'Submit':pd.to_datetime(['2024-01-01 10:00','2024-01-01 12:30'])})",NaT; 0 days 02:30:00
pd.shift(),Python,pandas,Series or DataFrame,Moves values down or up by row position,Create previous or next row values for comparison,I need each row to know the previous submit time,df['Prev_Submit'] = df['Submit'].shift(1),import pandas as pd,"df = pd.DataFrame({'Submit':pd.to_datetime(['2024-01-01 10:00','2024-01-01 12:30'])})",NaT; 2024-01-01 10:00:00
pd.Series.dt.total_seconds(),Python,pandas.core.series.Series,Series,Converts timedelta values into total seconds as floats,Convert timedelta durations into numeric hours minutes or seconds,I have timedelta gaps and need hours,df['hours'] = df['gap'].dt.total_seconds() / 3600,import pandas as pd,"df = pd.DataFrame({'gap':pd.to_timedelta(['0 days 02:30:00','1 days 01:00:00'])})",2.5; 25.0
pd.Series.dt.components,Python,pandas.core.series.Series,DataFrame,Breaks timedelta values into days hours minutes seconds and smaller units,Display durations in readable component columns,I want to split each duration into readable time parts,parts = df['gap'].dt.components,import pandas as pd,df = pd.DataFrame({'gap':pd.to_timedelta(['1 days 02:03:04'])}),days=1; hours=2; minutes=3; seconds=4
pd.Series.dt,Python,pandas.core.series.Series,Series,Accesses datetime-like or timedelta-like properties for a pandas Series,Extract date parts or duration parts from a whole column,I have datetime values and need the year from each row,years = df['date'].dt.year,import pandas as pd,"df = pd.DataFrame({'date':pd.to_datetime(['2024-01-01','2025-03-15'])})",2024; 2025
datetime.datetime.now(),Python,datetime,datetime object,Returns the current local date and time,Get the current timestamp,I need the current time for logging,now = datetime.datetime.now(),import datetime,-,current datetime
datetime.datetime.strptime(),Python,datetime,datetime object,Parses a string into a datetime using a specified format,Convert formatted string into datetime,I have a date string and need a datetime object,"dt = datetime.datetime.strptime(date_str, '%Y-%m-%d')",import datetime,date_str = '2024-01-15',2024-01-15 00:00:00
datetime.datetime.strftime(),Python,datetime,str,Formats a datetime object into a string,Convert datetime into readable string format,I want to display a date in custom format,s = dt.strftime('%Y/%m/%d'),import datetime,"dt = datetime.datetime(2024,1,15)",2024/01/15
datetime.datetime.timestamp(),Python,datetime,float,Converts datetime to Unix timestamp in seconds,Convert datetime to numeric time for storage or comparison,I need seconds since epoch,ts = dt.timestamp(),import datetime,"dt = datetime.datetime(2024,1,1)",1704067200.0
datetime.datetime.fromtimestamp(),Python,datetime,datetime object,Converts Unix timestamp into datetime,Convert numeric timestamp back to datetime,I have stored timestamp and need datetime,dt = datetime.datetime.fromtimestamp(ts),import datetime,ts = 1704067200.0,2024-01-01 00:00:00
datetime.timedelta.total_seconds(),Python,datetime,float,Returns total duration in seconds including days,Convert duration to numeric value,I have a timedelta and need hours,hours = td.total_seconds() / 3600,import datetime,"td = datetime.timedelta(days=1, hours=2)",26.0
datetime.timedelta.days,Python,datetime,int,Returns number of full days in the duration,Extract day component from duration,I want number of days from timedelta,d = td.days,import datetime,"td = datetime.timedelta(days=3, hours=5)",3
datetime.timedelta.seconds,Python,datetime,int,Returns remaining seconds excluding days,Extract leftover seconds from duration,I want seconds excluding full days,s = td.seconds,import datetime,"td = datetime.timedelta(days=1, hours=2)",7200
datetime.timedelta.microseconds,Python,datetime,int,Returns microseconds component of duration,Extract smallest time unit from timedelta,I need microsecond precision,us = td.microseconds,import datetime,"td = datetime.timedelta(seconds=1, microseconds=500)",500
str.count(),Python,builtins.str,int,Returns the number of non-overlapping occurrences of a substring,Measure frequency of a substring in text,Does not count overlapping matches,Count how many times a letter appears in a word,result = text.count('l'),-,text = 'hello'
substr(),SQL,SQLite,Extracts part of a text value by position.,"Pull pieces out of text, such as month, day, or year from a non-ISO date string.","SQLite positions start at 1, not 0.","I have a date stored as MM/DD/YYYY text, and I need only the year.","SELECT substr(date_occ, 7, 4) AS year_text FROM crimes;","CREATE TABLE crimes (date_occ TEXT);\nINSERT INTO crimes VALUES ('01/15/2024 12:00:00 AM');\nSELECT substr(date_occ, 7, 4) AS year_text FROM crimes;",2024,
