Method,Library / Object,Argument,Type,Valid Range,Required or Not Required,Default Value
pd.any(),pandas.core.frame.DataFrame,skipna,bool,True or False,Not Required,TRUE
pd.any(),pandas.core.frame.DataFrame,**kwargs,dict,any keyword args,Not Required,{}
pd.drop(),pandas.core.series.Series,labels,single label/list-like,valid index labels,Not Required,None
pd.drop(),pandas.core.series.Series,axis,int or str,0/'index',Not Required,0
pd.drop(),pandas.core.series.Series,index,single label/list-like,valid index labels,Not Required,None
pd.drop(),pandas.core.series.Series,columns,—,not used for Series,Not Required,None
pd.drop(),pandas.core.series.Series,level,int/label,valid MultiIndex level,Not Required,None
pd.drop(),pandas.core.series.Series,inplace,bool,True or False,Not Required,FALSE
pd.drop(),pandas.core.series.Series,errors,str,ignore' or 'raise',Not Required,raise
pd.drop(),pandas.core.frame.DataFrame,labels,single label/list-like,valid row/column labels,Not Required,None
pd.drop(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.drop(),pandas.core.frame.DataFrame,index,single label/list-like,valid index labels,Not Required,None
pd.drop(),pandas.core.frame.DataFrame,columns,single label/list-like,valid column labels,Not Required,None
pd.drop(),pandas.core.frame.DataFrame,level,int/label,valid MultiIndex level,Not Required,None
pd.drop(),pandas.core.frame.DataFrame,inplace,bool,True or False,Not Required,FALSE
pd.drop(),pandas.core.frame.DataFrame,errors,str,ignore' or 'raise',Not Required,raise
pd.DataFrame.merge(),pandas.core.frame.DataFrame,right,DataFrame or named Series,valid pandas object,Required,—
pd.DataFrame.merge(),pandas.core.frame.DataFrame,how,str,"left','right','outer','inner','cross'",Not Required,inner
pd.DataFrame.merge(),pandas.core.frame.DataFrame,on,label/list,valid shared column/index names,Not Required,None
pd.DataFrame.merge(),pandas.core.frame.DataFrame,left_on,label/list/array-like,valid left keys,Not Required,None
pd.DataFrame.merge(),pandas.core.frame.DataFrame,right_on,label/list/array-like,valid right keys,Not Required,None
pd.DataFrame.merge(),pandas.core.frame.DataFrame,left_index,bool,True or False,Not Required,FALSE
pd.DataFrame.merge(),pandas.core.frame.DataFrame,right_index,bool,True or False,Not Required,FALSE
pd.DataFrame.merge(),pandas.core.frame.DataFrame,sort,bool,True or False,Not Required,FALSE
pd.DataFrame.merge(),pandas.core.frame.DataFrame,suffixes,tuple/list,two suffix values,Not Required,"('_x','_y')"
pd.DataFrame.merge(),pandas.core.frame.DataFrame,copy,bool or None,True/False/None,Not Required,None
pd.DataFrame.merge(),pandas.core.frame.DataFrame,indicator,bool or str,True/False or column name,Not Required,FALSE
pd.DataFrame.merge(),pandas.core.frame.DataFrame,validate,str,"1:1','1:m','m:1','m:m'",Not Required,None
pd.DataFrame.join(),pandas.core.frame.DataFrame,other,DataFrame/Series/list,valid pandas object(s),Required,—
pd.DataFrame.join(),pandas.core.frame.DataFrame,on,label/list,valid column/index key,Not Required,None
pd.DataFrame.join(),pandas.core.frame.DataFrame,how,str,"left','right','outer','inner','cross'",Not Required,left
pd.DataFrame.join(),pandas.core.frame.DataFrame,lsuffix,str,any string,Not Required,'
pd.DataFrame.join(),pandas.core.frame.DataFrame,rsuffix,str,any string,Not Required,'
pd.DataFrame.join(),pandas.core.frame.DataFrame,sort,bool,True or False,Not Required,FALSE
pd.DataFrame.join(),pandas.core.frame.DataFrame,validate,str,"1:1','1:m','m:1','m:m'",Not Required,None
pd.concat(),pandas,objs,sequence or mapping of Series/DataFrame,valid pandas objects,Required,—
pd.concat(),pandas,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.concat(),pandas,join,str,inner' or 'outer',Not Required,outer
pd.concat(),pandas,ignore_index,bool,True or False,Not Required,FALSE
pd.concat(),pandas,keys,sequence,valid labels,Not Required,None
pd.concat(),pandas,levels,list of sequences,valid levels,Not Required,None
pd.concat(),pandas,names,list,valid names,Not Required,None
pd.concat(),pandas,verify_integrity,bool,True or False,Not Required,FALSE
pd.concat(),pandas,sort,bool,True or False,Not Required,FALSE
pd.concat(),pandas,copy,bool or None,True/False/None,Not Required,None
np.random.default_rng(),numpy.random,seed,None/int/array-like/SeedSequence/BitGenerator/Generator,valid seed,Not Required,None
np.random.Generator.choice(),numpy.random.Generator,a,int or array-like,positive int or 1-D array,Required,—
np.random.Generator.choice(),numpy.random.Generator,size,int/tuple/None,>=0 dimensions,Not Required,None
np.random.Generator.choice(),numpy.random.Generator,replace,bool,True or False,Not Required,TRUE
np.random.Generator.choice(),numpy.random.Generator,p,1-D array-like,probabilities sum to 1,Not Required,None
np.random.Generator.choice(),numpy.random.Generator,axis,int,valid axis,Not Required,0
np.random.Generator.choice(),numpy.random.Generator,shuffle,bool,True or False,Not Required,TRUE
str.split(),Built-in,sep,str or None,any separator,Not Required,None
str.split(),Built-in,maxsplit,int,-1 or >=0,Not Required,-1
dict.items(),Built-in,—,—,no parameters,Not Required,—
pd.DataFrame.iterrows(),pandas.core.frame.DataFrame,—,—,no parameters,Not Required,—
enumerate(),Built-in,iterable,iterable,any iterable,Required,—
enumerate(),Built-in,start,int,any integer,Not Required,0
zip(),Built-in,*iterables,iterables,any iterables,Required,—
zip(),Built-in,strict,bool,True or False,Not Required,FALSE
map(),Built-in,function,callable,valid function,Required,—
map(),Built-in,iterable,iterable,any iterable,Required,—
map(),Built-in,*iterables,iterables,optional extra iterables,Not Required,()
pd.DataFrame.drop_duplicates(),pandas.core.frame.DataFrame,subset,label/list,valid column labels,Not Required,None
pd.DataFrame.drop_duplicates(),pandas.core.frame.DataFrame,keep,str or bool,"first','last',False",Not Required,first
pd.DataFrame.drop_duplicates(),pandas.core.frame.DataFrame,inplace,bool,True or False,Not Required,FALSE
pd.DataFrame.drop_duplicates(),pandas.core.frame.DataFrame,ignore_index,bool,True or False,Not Required,FALSE
pd.DataFrame.drop_duplicates(),pandas.core.series.Series,keep,str or bool,"first','last',False",Not Required,first
pd.DataFrame.drop_duplicates(),pandas.core.series.Series,inplace,bool,True or False,Not Required,FALSE
pd.Series.tolist(),pandas.core.series.Series,—,—,no parameters,Not Required,—
pd.apply(),pandas.core.series.Series,func,function,valid callable,Required,—
pd.apply(),pandas.core.series.Series,convert_dtype,bool,True or False,Not Required,TRUE
pd.apply(),pandas.core.series.Series,args,tuple,any positional args,Not Required,()
pd.apply(),pandas.core.series.Series,by_row,str or bool,compat' or False,Not Required,compat
pd.apply(),pandas.core.series.Series,**kwargs,dict,any keyword args,Not Required,{}
pd.apply(),pandas.core.frame.DataFrame,func,function,valid callable,Required,—
pd.apply(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.apply(),pandas.core.frame.DataFrame,raw,bool,True or False,Not Required,FALSE
pd.apply(),pandas.core.frame.DataFrame,result_type,str,"expand','reduce','broadcast'",Not Required,None
pd.apply(),pandas.core.frame.DataFrame,args,tuple,any positional args,Not Required,()
pd.apply(),pandas.core.frame.DataFrame,by_row,str or bool,compat' or False,Not Required,compat
pd.apply(),pandas.core.frame.DataFrame,engine,str or decorator,"python','numba' or decorator",Not Required,python
pd.apply(),pandas.core.frame.DataFrame,engine_kwargs,dict,valid engine kwargs,Not Required,None
pd.apply(),pandas.core.frame.DataFrame,**kwargs,dict,any keyword args,Not Required,{}
re.search(),re,pattern,str or Pattern,valid regex,Required,—
re.search(),re,string,str,string to search,Required,—
re.search(),re,flags,int/re flags,valid regex flags,Not Required,0
re.match(),re,pattern,str or Pattern,valid regex,Required,—
re.match(),re,string,str,string to match,Required,—
re.match(),re,flags,int/re flags,valid regex flags,Not Required,0
re.findall(),re,pattern,str or Pattern,valid regex,Required,—
re.findall(),re,string,str,string to search,Required,—
re.findall(),re,flags,int/re flags,valid regex flags,Not Required,0
re.sub(),re,pattern,str or Pattern,valid regex,Required,—
re.sub(),re,repl,str or callable,replacement value/function,Required,—
re.sub(),re,string,str,string to modify,Required,—
re.sub(),re,count,int,>=0,Not Required,0
re.sub(),re,flags,int/re flags,valid regex flags,Not Required,0
re.split(),re,pattern,str or Pattern,valid regex,Required,—
re.split(),re,string,str,string to split,Required,—
re.split(),re,maxsplit,int,>=0,Not Required,0
re.split(),re,flags,int/re flags,valid regex flags,Not Required,0
re.compile(),re,pattern,str,valid regex,Required,—
re.compile(),re,flags,int/re flags,valid regex flags,Not Required,0
re.group(),re.Match,group1,int or str,0+ or group name,Not Required,0
re.group(),re.Match,*groups,int/str,0+ or group names,Not Required,()
re.groupdict(),re.Match,default,any,any default value,Not Required,None
pd.DataFrame.reset_index(),pandas.core.frame.DataFrame,level,int/str/tuple/list,valid index level(s),Not Required,None
pd.DataFrame.reset_index(),pandas.core.frame.DataFrame,drop,bool,True or False,Not Required,FALSE
pd.DataFrame.reset_index(),pandas.core.frame.DataFrame,inplace,bool,True or False,Not Required,FALSE
pd.DataFrame.reset_index(),pandas.core.frame.DataFrame,col_level,int/str,valid column level,Not Required,0
pd.DataFrame.reset_index(),pandas.core.frame.DataFrame,col_fill,object,any label,Not Required,'
pd.DataFrame.reset_index(),pandas.core.frame.DataFrame,allow_duplicates,bool,True or False,Not Required,FALSE
pd.DataFrame.reset_index(),pandas.core.frame.DataFrame,names,int/str/list,valid column name(s),Not Required,None
pd.DataFrame.set_index(),pandas.core.frame.DataFrame,keys,label/list/array-like,valid column/index keys,Required,—
pd.DataFrame.set_index(),pandas.core.frame.DataFrame,drop,bool,True or False,Not Required,TRUE
pd.DataFrame.set_index(),pandas.core.frame.DataFrame,append,bool,True or False,Not Required,FALSE
pd.DataFrame.set_index(),pandas.core.frame.DataFrame,inplace,bool,True or False,Not Required,FALSE
pd.DataFrame.set_index(),pandas.core.frame.DataFrame,verify_integrity,bool,True or False,Not Required,FALSE
pd.loc,pandas.core.indexing._LocIndexer,key,label/slice/list/boolean mask,valid labels,Required,—
pd.loc,pandas.core.indexing._LocIndexer,key,label/slice/list/boolean mask,valid labels,Required,—
pd.iloc,pandas.core.indexing._iLocIndexer,key,int/slice/list/boolean mask,valid positions,Required,—
pd.iloc,pandas.core.indexing._iLocIndexer,key,int/slice/list/boolean mask,valid positions,Required,—
pd.idxmax(),pandas.core.series.Series,axis,int or str,0/'index',Not Required,0
pd.idxmax(),pandas.core.series.Series,skipna,bool,True or False,Not Required,TRUE
pd.idxmax(),pandas.core.series.Series,*args,tuple,any positional args,Not Required,()
pd.idxmax(),pandas.core.series.Series,**kwargs,dict,any keyword args,Not Required,{}
pd.idxmax(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.idxmax(),pandas.core.frame.DataFrame,skipna,bool,True or False,Not Required,TRUE
pd.idxmax(),pandas.core.frame.DataFrame,numeric_only,bool,True or False,Not Required,FALSE
pd.idxmin(),pandas.core.series.Series,axis,int or str,0/'index',Not Required,0
pd.idxmin(),pandas.core.series.Series,skipna,bool,True or False,Not Required,TRUE
pd.idxmin(),pandas.core.series.Series,*args,tuple,any positional args,Not Required,()
pd.idxmin(),pandas.core.series.Series,**kwargs,dict,any keyword args,Not Required,{}
pd.idxmin(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.idxmin(),pandas.core.frame.DataFrame,skipna,bool,True or False,Not Required,TRUE
pd.idxmin(),pandas.core.frame.DataFrame,numeric_only,bool,True or False,Not Required,FALSE
pd.Index.get_loc(),pandas.core.indexes.base.Index,key,hashable,valid index label,Required,—
np.where(),numpy,condition,array-like/bool,valid condition,Required,—
np.where(),numpy,x,array-like/scalar,value if True,Not Required,None
np.where(),numpy,y,array-like/scalar,value if False,Not Required,None
np.argmax(),numpy,a,array-like,valid array,Required,—
np.argmax(),numpy,axis,int or None,valid axis,Not Required,None
np.argmax(),numpy,out,ndarray,valid output array,Not Required,None
np.argmax(),numpy,keepdims,bool,True or False,Not Required,FALSE
np.argmax(),numpy.ndarray,axis,int or None,valid axis,Not Required,None
np.argmax(),numpy.ndarray,out,ndarray,valid output array,Not Required,None
np.argmax(),numpy.ndarray,keepdims,bool,True or False,Not Required,FALSE
np.argmin(),numpy,a,array-like,valid array,Required,—
np.argmin(),numpy,axis,int or None,valid axis,Not Required,None
np.argmin(),numpy,out,ndarray,valid output array,Not Required,None
np.argmin(),numpy,keepdims,bool,True or False,Not Required,FALSE
np.argmin(),numpy.ndarray,axis,int or None,valid axis,Not Required,None
np.argmin(),numpy.ndarray,out,ndarray,valid output array,Not Required,None
np.argmin(),numpy.ndarray,keepdims,bool,True or False,Not Required,FALSE
pd.size(),pandas.core.series.Series,—,—,attribute; no parameters,Not Required,—
pd.size(),pandas.core.frame.DataFrame,—,—,attribute; no parameters,Not Required,—
pd.size(),pandas.core.groupby.generic.SeriesGroupBy,—,—,no parameters,Not Required,—
pd.size(),pandas.core.groupby.generic.DataFrameGroupBy,—,—,no parameters,Not Required,—
pd.count(),pandas.core.series.Series,level,int/str,valid level,Not Required,None
pd.count(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.count(),pandas.core.frame.DataFrame,numeric_only,bool,True or False,Not Required,FALSE
pd.count(),pandas.core.groupby.generic.SeriesGroupBy,—,—,no required parameters,Not Required,—
pd.count(),pandas.core.groupby.generic.DataFrameGroupBy,numeric_only,bool,True or False,Not Required,FALSE
pd.DataFrame.columns,pandas.core.frame.DataFrame,—,—,attribute; no parameters,Not Required,—
pd.Series.to_frame(),pandas.core.series.Series,name,object,column name or None,Not Required,None
pd.isna(),pandas,obj,scalar/array-like/pandas object,any object,Required,—
pd.isna(),pandas.core.series.Series,—,—,no parameters,Not Required,—
pd.isna(),pandas.core.frame.DataFrame,—,—,no parameters,Not Required,—
pd.notna(),pandas,obj,scalar/array-like/pandas object,any object,Required,—
pd.notna(),pandas.core.series.Series,—,—,no parameters,Not Required,—
pd.notna(),pandas.core.frame.DataFrame,—,—,no parameters,Not Required,—
pd.fillna(),pandas.core.series.Series,value,scalar/dict/Series,valid fill value,Not Required,None
pd.fillna(),pandas.core.series.Series,method,str,"ffill','bfill'",Not Required,None
pd.fillna(),pandas.core.series.Series,axis,int or str,0/'index',Not Required,None
pd.fillna(),pandas.core.series.Series,inplace,bool,True or False,Not Required,FALSE
pd.fillna(),pandas.core.series.Series,limit,int,>0,Not Required,None
pd.fillna(),pandas.core.series.Series,downcast,dict or str,valid downcast rule,Not Required,None
pd.fillna(),pandas.core.frame.DataFrame,value,scalar/dict/Series/DataFrame,valid fill value,Required,—
pd.fillna(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,None
pd.fillna(),pandas.core.frame.DataFrame,inplace,bool,True or False,Not Required,FALSE
pd.fillna(),pandas.core.frame.DataFrame,limit,int,>0,Not Required,None
pd.dropna(),pandas.core.series.Series,axis,int or str,0/'index',Not Required,0
pd.dropna(),pandas.core.series.Series,inplace,bool,True or False,Not Required,FALSE
pd.dropna(),pandas.core.series.Series,how,str,any',Not Required,None
pd.dropna(),pandas.core.series.Series,ignore_index,bool,True or False,Not Required,FALSE
pd.dropna(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.dropna(),pandas.core.frame.DataFrame,how,str,any' or 'all',Not Required,any
pd.dropna(),pandas.core.frame.DataFrame,thresh,int,>=1,Not Required,None
pd.dropna(),pandas.core.frame.DataFrame,subset,label/list,valid labels,Not Required,None
pd.dropna(),pandas.core.frame.DataFrame,inplace,bool,True or False,Not Required,FALSE
pd.dropna(),pandas.core.frame.DataFrame,ignore_index,bool,True or False,Not Required,FALSE
pd.DataFrame.cumcount(),pandas.core.groupby.generic.SeriesGroupBy,ascending,bool,True or False,Not Required,TRUE
pd.DataFrame.cumcount(),pandas.core.groupby.generic.DataFrameGroupBy,ascending,bool,True or False,Not Required,TRUE
pd.head(),pandas.core.series.Series,n,int,any integer,Not Required,5
pd.head(),pandas.core.frame.DataFrame,n,int,any integer,Not Required,5
pd.head(),pandas.core.groupby.generic.SeriesGroupBy,n,int,any integer,Not Required,5
pd.head(),pandas.core.groupby.generic.DataFrameGroupBy,n,int,any integer,Not Required,5
pd.filter(),pandas.core.series.Series,items,list-like,valid labels,Not Required,None
pd.filter(),pandas.core.series.Series,like,str,any string,Not Required,None
pd.filter(),pandas.core.series.Series,regex,str,valid regex,Not Required,None
pd.filter(),pandas.core.series.Series,axis,int or str,0/'index',Not Required,None
pd.filter(),pandas.core.frame.DataFrame,items,list-like,valid labels,Not Required,None
pd.filter(),pandas.core.frame.DataFrame,like,str,any string,Not Required,None
pd.filter(),pandas.core.frame.DataFrame,regex,str,valid regex,Not Required,None
pd.filter(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,None
pd.filter(),pandas.core.groupby.generic.DataFrameGroupBy,func,callable,returns True/False per group,Required,—
pd.filter(),pandas.core.groupby.generic.DataFrameGroupBy,dropna,bool,True or False,Not Required,TRUE
filter(),Built-in,function,callable or None,returns True/False,Required,—
filter(),Built-in,iterable,iterable,any iterable,Required,—
np.array(),numpy.ndarray,dtype,type,any valid numpy dtype,Not Required,None
np.reshape(),numpy.ndarray,newshape,tuple,int dimensions matching total elements,Required,-
np.expand_dims(),numpy.ndarray,axis,int,valid axis index,Required,-
np.squeeze(),numpy.ndarray,axis,int or None,valid axes or None,Not Required,None
np.vstack(),numpy,arrays,tuple,list/tuple of arrays,Required,-
np.hstack(),numpy,arrays,tuple,list/tuple of arrays,Required,-
np.concatenate(),numpy,arrays,tuple,list/tuple of arrays,Required,-
np.concatenate(),numpy,axis,int,valid axis index,Not Required,0
np.where(),numpy.ndarray,condition,array-like,boolean array,Required,-
np.where(),numpy.ndarray,x,array-like,values when True,Not Required,-
np.where(),numpy.ndarray,y,array-like,values when False,Not Required,-
np.argmax(),numpy.ndarray,axis,int,valid axis index,Not Required,None
np.sort(),numpy.ndarray,axis,int,valid axis index,Not Required,-1
sorted(),Built-in,iterable,iterable,list/tuple/set,Required,-
sorted(),Built-in,key,callable,function for sorting,Not Required,None
np.ndarray.sort(),numpy.ndarray,axis,int,valid axis index,Not Required,-1
np.flatten(),numpy.ndarray,-,-,attribute; no parameters,Not Required,-
np.ravel(),numpy.ndarray,order,str,'C','F','A'
reversed(),Built-in,iterable,iterable,list/tuple/string,Required,-
list.reverse(),Built-in,-,-,attribute; no parameters,Not Required,-
collections.Counter(),collections.Counter,iterable,iterable,any iterable of hashable items,Not Required,None
collections.Counter(),collections.Counter,mapping,dict-like,mapping of element to count,Not Required,None
collections.Counter.update(),collections.Counter,iterable,iterable,any iterable of hashable items,Not Required,None
collections.Counter.update(),collections.Counter,mapping,dict-like,mapping of element to increment amount,Not Required,None
collections.Counter.most_common(),collections.Counter,n,int,non-negative integer,Not Required,None
collections.Counter.keys(),collections.Counter,-,-,attribute; no parameters,Not Required,-
collections.Counter.values(),collections.Counter,-,-,attribute; no parameters,Not Required,-
collections.Counter.items(),collections.Counter,-,-,attribute; no parameters,Not Required,-
pd.replace(),pandas.core.frame.DataFrame,to_replace,scalar list dict or regex,values to match,Required,-
pd.replace(),pandas.core.frame.DataFrame,value,scalar list dict,replacement values,Not Required,None
pd.replace(),pandas.core.series.Series,to_replace,scalar list dict or regex,values to match,Required,-
pd.replace(),pandas.core.series.Series,value,scalar list dict,replacement values,Not Required,None
pd.where(),pandas.core.frame.DataFrame,cond,DataFrame or boolean array,True/False mask,Required,-
pd.where(),pandas.core.frame.DataFrame,other,scalar DataFrame or Series,replacement values,Not Required,np.nan
pd.where(),pandas.core.series.Series,cond,Series or boolean array,True/False mask,Required,-
pd.where(),pandas.core.series.Series,other,scalar Series,replacement values,Not Required,np.nan
pd.mask(),pandas.core.frame.DataFrame,cond,DataFrame or boolean array,True/False mask,Required,-
pd.mask(),pandas.core.frame.DataFrame,other,scalar DataFrame or Series,replacement values,Not Required,np.nan
pd.mask(),pandas.core.series.Series,cond,Series or boolean array,True/False mask,Required,-
pd.mask(),pandas.core.series.Series,other,scalar Series,replacement values,Not Required,np.nan
pd.astype(),pandas.core.frame.DataFrame,dtype,str dict or type,target dtype,Required,-
pd.astype(),pandas.core.series.Series,dtype,str or type,target dtype,Required,-
pd.applymap(),pandas.core.frame.DataFrame,func,callable,any callable,Required,-
pd.str.lower(),pandas.core.series.Series,-,-,attribute; no parameters,Not Required,-
pd.to_datetime(),pandas,arg,scalar list-like Series or DataFrame,datetime-convertible values,Required,-
pd.to_datetime(),pandas,format,str,valid datetime format string,Not Required,None
pd.to_datetime(),pandas,errors,str,"'raise','coerce','ignore'",Not Required,raise
pd.to_datetime(),pandas,dayfirst,bool,True or False,Not Required,False
pd.to_datetime(),pandas,yearfirst,bool,True or False,Not Required,False
pd.to_timedelta(),pandas,arg,scalar list-like or Series,timedelta-convertible values,Required,-
pd.to_timedelta(),pandas,unit,str,"'D','h','m','s','ms','us','ns'",Not Required,None
pd.to_timedelta(),pandas,errors,str,"'raise','coerce','ignore'",Not Required,raise
pd.diff(),pandas.core.series.Series,periods,int,any integer row offset,Not Required,1
pd.diff(),pandas.core.frame.DataFrame,periods,int,any integer row offset,Not Required,1
pd.diff(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.shift(),pandas.core.series.Series,periods,int,positive or negative integer,Not Required,1
pd.shift(),pandas.core.series.Series,freq,str or DateOffset,valid time frequency,Not Required,None
pd.shift(),pandas.core.series.Series,fill_value,scalar,any valid fill value,Not Required,None
pd.shift(),pandas.core.frame.DataFrame,periods,int or sequence of int,positive or negative integer offsets,Not Required,1
